name,latitude,longitude,locality,country_code
Carcavelos,38.67928,-9.33398,Carcavelos,pt
Cave,38.99064,-9.42312,Mafra,pt
Comporta,38.38096,-8.80318,Grândola,pt
Consolação,39.32576,-9.35942,Consolação,pt
Contreiras,32.84224,-17.14072,Contreiras,pt
Cordoama,37.10865,-8.93747,Vila do Bispo,pt
Cortegaça,40.9394,-8.65872,Ovar,pt
Costa da Caparica,38.6413,-9.23808,Costa da Caparica,pt
Costa Nova,40.61429,-8.75399,Costa Nova,pt
Cova da Alfarroba,39.36069,-9.36279,Peniche,pt
Cova do Vapor,38.66091,-9.25608,Almada,pt
Coxos,39.00128,-9.42663,Mafra,pt
Ericeira,38.96745,-9.4198,Ericeira,pt
Espinho,41.00856,-8.64606,Anta,pt
Esposende,41.5425,-8.79222,Esposende,pt
Fajã da Areia,32.80882,-17.04905,São Vicente,pt
Fajã da Caldeira de Santo Cristo,38.6001,-28.00493,Calheta,pt
Fajã dos Cubres,38.643,-27.9654,Fajã dos Cubres,pt
Figueira Foz,40.15543,-8.86877,Praia de Buarcos,pt
Fonte da Telha,38.57405,-9.19669,Fonte da Telha,pt
Foz do Arelho,39.433516,-9.228342,Foz do Arelho,pt
Foz do Lizandro,38.94222,-9.4155,Foz do Lizandro,pt
Furadouro,40.87167,-8.67797,Furadouro,pt
Guincho,38.73115,-9.47221,Cascais e Estoril,pt
Inatel,37.08592,-8.24466,Albufeira e Olhos de Água,pt
Ingrina,37.04655,-8.87921,Vila do Bispo,pt
Jardins do Mar,32.73727,-17.21258,Calheta,pt
Lagido,39.37408,-9.33707,Baleal,pt
Lagoa de Albufeira,38.50695,-9.18133,Sesimbra,pt
Lagos,37.1069,-8.6648,São Gonçalo de Lagos,pt
Leça da Palmeira,41.189397,-8.705359,Matosinhos,pt
Luz,37.08682,-8.72628,Luz,pt
Maceda,40.920692,-8.661599,Maceda,pt
Machico,32.71629,-16.7647,Machico,pt
Madalena do Mar,32.700809,-17.135837,Madalena do Mar,pt
Malhão,37.77998,-8.80224,Odemira,pt
Mareta,37.00585,-8.93799,Vila do Bispo,pt
Martinhal,37.02029,-8.92506,Martinhal,pt
Matadouro,38.97554,-9.42028,Ericeira,pt
Matosinhos,41.176235,-8.691471,Matosinhos,pt
Meia Praia,37.11757,-8.64565,São Gonçalo de Lagos,pt
Meio da Baía,39.36253,-9.34825,Peniche,pt
Mindelo,41.304812,-8.738066,Vila Chã,pt
Mira,40.454438,-8.803694,Praia de Mira,pt
Moledo do Minho,41.84946,-8.86631,Caminha,pt
Molhe Leste,39.34928,-9.36608,Atouguia da Baleia,pt
Monte Clérigo,37.34144,-8.85325,Aljezur,pt
Murtosa,40.73884,-8.7219,Torreira,pt
Nazaré,39.601665,-9.074201,Nazaré,pt
Odeceixe,37.441437,-8.797673,Odeceixe,pt
Ofir,41.513448,-8.785984,Fão,pt
Papoa,39.3691,-9.37784,Peniche,pt
